file,operation
omma.testutils,fail_if_array_equal
omma.testutils,compare
omma.testutils,assert_array_approx_equal
omma.testutils,compare
omma.testutils,assert_array_almost_equal
omma.testutils,compare
omma.testutils,assert_array_less
omma.testutils,assert_mask_equal
omma.extras,issequence
omma.extras,count_masked
omma.extras,masked_all
omma.extras,masked_all_like
omma.extras,flatten_inplace
omma.extras,apply_along_axis
omma.extras,apply_over_axes
omma.extras,average
omma.extras,median
omma.extras,_median
omma.extras,replace_masked
omma.extras,compress_nd
omma.extras,compress_rowcols
omma.extras,compress_rows
omma.extras,compress_cols
omma.extras,mask_rowcols
omma.extras,mask_rows
omma.extras,mask_cols
omma.extras,ediff1d
omma.extras,unique
omma.extras,intersect1d
omma.extras,setxor1d
omma.extras,in1d
omma.extras,isin
omma.extras,union1d
omma.extras,setdiff1d
omma.extras,_covhelper
omma.extras,cov
omma.extras,corrcoef
omma.extras,makemat
omma.extras,ndenumerate
omma.extras,flatnotmasked_edges
omma.extras,notmasked_edges
omma.extras,flatnotmasked_contiguous
omma.extras,notmasked_contiguous
omma.extras,_ezclump
omma.extras,clump_unmasked
omma.extras,clump_masked
omma.extras,vander
omma.extras,polyfit
omtests.test_extras,myfunc
omtests.test_extras,myfunc
omtests.test_old_ma,eq
omtests.test_old_ma,eqmask
omtests.test_arrayobject,test_matrix_transpose_raises_error_for_1d
omtests.test_arrayobject,test_matrix_transpose_equals_transpose_2d
omtests.test_arrayobject,test_matrix_transpose_equals_swapaxes
omtests.test_core,assign
omtests.test_core,_test_index
omtests.test_core,testaxis
omtests.test_core,testkeepdims
omtests.test_core,test_masked_array
omtests.test_core,test_masked_array_no_copy
omtests.test_core,test_append_masked_array
omtests.test_core,test_append_masked_array_along_axis
omtests.test_core,test_default_fill_value_complex
omtests.test_core,test_ufunc_with_output
omtests.test_core,test_ufunc_with_out_varied
omtests.test_core,test_astype_mask_ordering
omtests.test_core,test_astype_basic
omtests.test_core,test_fieldless_void
omtests.test_core,test_mask_shape_assignment_does_not_break_masked
omtests.test_core,test_doc_note
omtests.test_core,test_gh_22556
omtests.test_core,test_gh_21022
omtests.test_core,test_deepcopy_2d_obj
omtests.test_core,test_deepcopy_0d_obj
omtests.test_mrecords,test_record_array_with_object_field
omtests.test_subclassing,assert_startswith
omtests.test_subclassing,__new__
omtests.test_subclassing,__new__
omtests.test_subclassing,__new__
omtests.test_subclassing,test_array_no_inheritance
om_typing._add_docstring,add_newdoc
om_typing._add_docstring,_parse_docstrings
om_typing._nested_sequence,__len__
om_typing._nested_sequence,__getitem__
om_typing._nested_sequence,__contains__
om_typing._nested_sequence,__iter__
om_typing._nested_sequence,__reversed__
om_typing._nested_sequence,count
om_typing._nested_sequence,index
om_typing.__init__,__init_subclass__
omtests.test_ctypeslib,check
omtests.test_lazyloading,test_lazy_load
omtests.test_public_api,check_dir
omtests.test_public_api,test_numpy_namespace
omtests.test_public_api,test_import_lazy_import
omtests.test_public_api,test_dir_testing
omtests.test_public_api,test_numpy_linalg
omtests.test_public_api,test_numpy_fft
omtests.test_public_api,test_NPY_NO_EXPORT
omtests.test_public_api,is_unexpected
omtests.test_public_api,test_all_modules_are_expected
omtests.test_public_api,test_all_modules_are_expected_2
omtests.test_public_api,find_unexpected_members
omtests.test_public_api,test_api_importable
omtests.test_public_api,check_importable
omtests.test_public_api,test_array_api_entry_point
omtests.test_public_api,test_main_namespace_all_dir_coherence
omtests.test_public_api,_remove_private_members
omtests.test_public_api,_remove_exceptions
omtests.test_public_api,test_core_shims_coherence
omtests.test_public_api,test_functions_single_location
omtests.test_numpy_version,test_valid_numpy_version
omtests.test_numpy_version,test_short_version
omtests.test_numpy_version,test_version_module
omtests.test_scripts,find_f2py_commands
omtests.test_scripts,test_f2py
omtests.test_scripts,test_pep338
omtests.test_reloading,test_numpy_reloading
omtests.test_reloading,test_novalue
omtests.test_reloading,test_full_reimport
omtests.test__all__,test_no_duplicates_in_np__all__
omtests.test_configtool,check_numpyconfig
omtests.test_configtool,test_configtool_version
omtests.test_configtool,test_configtool_cflags
omtests.test_configtool,test_configtool_pkgconfigdir
omtests.test_matlib,test_empty
omtests.test_matlib,test_ones
