$0;1752840515035974241;2.0.2;KIEKER;ZORGLUB-42;1;false;0;NANOSECONDS;0
$1;1752840520364447794;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520364759318;1752840520364795373;localhost;82;1
$1;1752840520364571359;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520364901999;1752840520364928601;localhost;83;1
$1;1752840520364642383;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520365019726;1752840520365044113;localhost;84;1
$1;1752840520364820690;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520365100980;1752840520365166263;localhost;85;1
$1;1752840520365003668;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520365283083;1752840520365321348;localhost;86;1
$1;1752840520365365011;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520365566336;1752840520365625103;localhost;87;1
$1;1752840520365535799;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520365803023;1752840520365847063;localhost;88;1
$1;1752840520365758118;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520366002220;1752840520366048886;localhost;89;1
$1;1752840520366128285;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520366259279;1752840520366365322;localhost;90;1
$1;1752840520366734650;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520366541493;1752840520366574717;localhost;91;1
$1;1752840520366947286;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520366685404;1752840520366720319;localhost;92;1
$1;1752840520366965764;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520366785861;1752840520366827241;localhost;93;1
$1;1752840520368195977;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520366901305;1752840520366940270;localhost;94;1
$1;1752840520368560414;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520368681303;1752840520368763668;localhost;95;1
$1;1752840520369976573;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520369082881;1752840520369525993;localhost;96;1
$1;1752840520370005980;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520369849251;1752840520369911953;localhost;97;1
$1;1752840520370016037;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520370030687;1752840520370154394;localhost;98;1
$1;1752840520370112843;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520370398318;1752840520370454762;localhost;99;1
$1;1752840520370346291;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520370580201;1752840520370622696;localhost;100;1
$1;1752840520370732569;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520370843450;1752840520370965923;localhost;101;1
$1;1752840520370914687;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520371173261;1752840520371224396;localhost;102;1
$1;1752840520371122068;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520371385045;1752840520371433644;localhost;103;1
$1;1752840520371674288;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520371674815;1752840520371737381;localhost;104;1
$1;1752840520371839591;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520371938979;1752840520371990924;localhost;105;1
$1;1752840520371853686;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520372117213;1752840520372162079;localhost;106;1
$1;1752840520372144469;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520372247815;1752840520372286018;localhost;107;1
$1;1752840520372355475;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520372602716;1752840520372658480;localhost;108;1
$1;1752840520372582967;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520372848769;1752840520372899218;localhost;109;1
$1;1752840520372668448;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520373013387;1752840520373056108;localhost;110;1
$1;1752840520373182950;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520373160863;1752840520373370420;localhost;111;1
$1;1752840520373924781;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520373634991;1752840520373699424;localhost;112;1
$1;1752840520374032574;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520374250729;1752840520374314968;localhost;113;1
$1;1752840520374092927;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520374443184;1752840520374487958;localhost;114;1
$1;1752840520374442763;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520374592164;1752840520374711421;localhost;115;1
$1;1752840520374629176;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520374877424;1752840520374927020;localhost;116;1
$1;1752840520374960363;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520375139085;1752840520375258237;localhost;117;1
$1;1752840520375218822;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520375490912;1752840520375536126;localhost;118;1
$1;1752840520375458912;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520375678671;1752840520375726427;localhost;119;1
$1;1752840520375645911;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520375895632;1752840520375939400;localhost;120;1
$1;1752840520377188784;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520377252888;1752840520377350728;localhost;121;1
$1;1752840520377318530;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520377609032;1752840520377663697;localhost;122;1
$1;1752840520377493439;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520377783694;1752840520377825059;localhost;123;1
