common-block,file,module,operation,direction
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.cached_objects,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.root_ref,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.info_ref,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.pages_ref,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.last_xref_section_offset,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.xref_table.reading_finished,WRITE
HDC,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.HDC,self.dc,WRITE
HWND,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.HWND,self.wnd,WRITE
Dib,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.Dib,self.image,WRITE
Dib,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.Dib,self.mode,WRITE
Dib,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.Dib,self.size,WRITE
Window,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.Window,self.hwnd,WRITE
ImageWindow,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.ImageWindow,self.image,WRITE
ImageWindow,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.ImageWindow,width,WRITE
ImageWindow,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.ImageWindow,height,WRITE
GimpGradientFile,./apps/Pillow/src/PIL/GimpGradientFile.py,PIL.GimpGradientFile.GimpGradientFile,line,WRITE
GimpGradientFile,./apps/Pillow/src/PIL/GimpGradientFile.py,PIL.GimpGradientFile.GimpGradientFile,count,WRITE
GimpGradientFile,./apps/Pillow/src/PIL/GimpGradientFile.py,PIL.GimpGradientFile.GimpGradientFile,self.gradient,WRITE
Kernel,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Kernel,self.filterargs,WRITE
RankFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.RankFilter,self.size,WRITE
RankFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.RankFilter,self.rank,WRITE
MedianFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MedianFilter,self.size,WRITE
MedianFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MedianFilter,self.rank,WRITE
MinFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MinFilter,self.size,WRITE
MinFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MinFilter,self.rank,WRITE
MaxFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MaxFilter,self.size,WRITE
MaxFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MaxFilter,self.rank,WRITE
ModeFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.ModeFilter,self.size,WRITE
GaussianBlur,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.GaussianBlur,self.radius,WRITE
BoxBlur,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.BoxBlur,xy,WRITE
BoxBlur,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.BoxBlur,self.radius,WRITE
UnsharpMask,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.UnsharpMask,self.radius,WRITE
UnsharpMask,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.UnsharpMask,self.percent,WRITE
UnsharpMask,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.UnsharpMask,self.threshold,WRITE
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,self.size,WRITE
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,size,WRITE
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,self.channels,WRITE
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,self.mode,WRITE
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,copy_table,WRITE
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,items,WRITE
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,wrong_size,WRITE
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,numpy,WRITE
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,self.table,WRITE
FontFile,./apps/Pillow/src/PIL/FontFile.py,PIL.FontFile.FontFile,self.info,WRITE
FontFile,./apps/Pillow/src/PIL/FontFile.py,PIL.FontFile.FontFile,self.glyph,WRITE
Color,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Color,self.image,WRITE
Color,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Color,self.intermediate_mode,WRITE
Color,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Color,self.degenerate,WRITE
Contrast,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Contrast,self.image,WRITE
Contrast,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Contrast,mean,WRITE
Contrast,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Contrast,self.degenerate,WRITE
Brightness,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Brightness,self.image,WRITE
Brightness,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Brightness,self.degenerate,WRITE
Sharpness,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Sharpness,self.image,WRITE
Sharpness,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Sharpness,self.degenerate,WRITE
TarIO,./apps/Pillow/src/PIL/TarIO.py,PIL.TarIO.TarIO,self.fh,WRITE
IFDRational,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.IFDRational,self._val,WRITE
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self._prefix,WRITE
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self._bigtiff,WRITE
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self.group,WRITE
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self.tagtype,WRITE
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self.next,WRITE
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self._legacy_api,WRITE
ImageFileDirectory_v1,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v1,self._legacy_api,WRITE
TiffImageFile,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.TiffImageFile,self.tag_v2,WRITE
TiffImageFile,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.TiffImageFile,self.tag,WRITE
AppendingTiffWriter,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.AppendingTiffWriter,self.f,WRITE
AppendingTiffWriter,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.AppendingTiffWriter,self.beginning,WRITE
ImagePalette,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette.ImagePalette,self.mode,WRITE
ImagePalette,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette.ImagePalette,self.rawmode,WRITE
ImagePalette,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette.ImagePalette,self.palette,WRITE
ImagePalette,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette.ImagePalette,self.dirty,WRITE
ChunkStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.ChunkStream,self.fp,WRITE
ChunkStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.ChunkStream,self.queue,WRITE
PngInfo,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngInfo,self.chunks,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_info,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_text,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_size,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_mode,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_tile,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_palette,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_custom_mimetype,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_n_frames,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self._seq_num,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.rewind_state,WRITE
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.text_memory,WRITE
_idat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._idat,self.fp,WRITE
_idat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._idat,self.chunk,WRITE
_fdat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._fdat,self.fp,WRITE
_fdat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._fdat,self.chunk,WRITE
_fdat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._fdat,self.seq_num,WRITE
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,self.dct,WRITE
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,self.fobj,WRITE
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,sig,WRITE
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,filesize,WRITE
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,i,WRITE
_Operand,./apps/Pillow/src/PIL/ImageMath.py,PIL.ImageMath._Operand,self.im,WRITE
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self._min_frame,WRITE
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.custom_mimetype,WRITE
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.tile,WRITE
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.readonly,WRITE
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.decoderconfig,WRITE
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.decodermaxblock,WRITE
PyCodecState,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodecState,self.xsize,WRITE
PyCodecState,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodecState,self.ysize,WRITE
PyCodecState,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodecState,self.xoff,WRITE
PyCodecState,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodecState,self.yoff,WRITE
PyCodec,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodec,self.im,WRITE
PyCodec,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodec,self.state,WRITE
PyCodec,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodec,self.fd,WRITE
PyCodec,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodec,self.mode,WRITE
ImagePointTransform,./apps/Pillow/src/PIL/Image.py,PIL.Image.ImagePointTransform,self.scale,WRITE
ImagePointTransform,./apps/Pillow/src/PIL/Image.py,PIL.Image.ImagePointTransform,self.offset,WRITE
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self._im,WRITE
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self._mode,WRITE
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self._size,WRITE
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self.palette,WRITE
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self.info,WRITE
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self.readonly,WRITE
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self._exif,WRITE
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._data,WRITE
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._hidden_data,WRITE
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._ifds,WRITE
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._info,WRITE
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._loaded_exif,WRITE
DeferredError,./apps/Pillow/src/PIL/_util.py,PIL._util.DeferredError,self.ex,WRITE
JpegPresets.py,./apps/Pillow/src/PIL/JpegPresets.py,PIL.JpegPresets,presets,WRITE
AvifImagePlugin.py,./apps/Pillow/src/PIL/AvifImagePlugin.py,PIL.AvifImagePlugin,DECODE_CODEC_CHOICE,WRITE
AvifImagePlugin.py,./apps/Pillow/src/PIL/AvifImagePlugin.py,PIL.AvifImagePlugin,DEFAULT_MAX_THREADS,WRITE
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,TYPE_CHECKING,WRITE
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,Coords,WRITE
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,_T_co,WRITE
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,StrOrBytesPath,WRITE
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,__all__,WRITE
ImageMorph.py,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph,LUT_SIZE,WRITE
ImageMorph.py,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph,ROTATION_MATRIX,WRITE
ImageMorph.py,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph,MIRROR_MATRIX,WRITE
