callerfilename,callermodule,caller,callee
./apps/matplotlib/lib/mpl_toolkits/axisartist/grid_finder.py,matplotlib.axisartist.grid_finder,__init__,super
./apps/matplotlib/lib/matplotlib/tests/test_colorbar.py,matplotlib.tests.test_colorbar,_colorbar_extension_shape,enumerate
./apps/matplotlib/lib/matplotlib/backends/backend_wx.py,matplotlib.backends.backend_wx,_get_key,chr
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_errorbar_every,slice
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_psd_csd,np.concatenate
./apps/matplotlib/galleries/examples/units/basic_units.py,basic_units,__init__,super
./apps/matplotlib/tools/boilerplate.py,matplotlib.tests.boilerplate,boilerplate_gen,spec.split
./apps/matplotlib/lib/matplotlib/_constrained_layout.py,matplotlib._constrained_layout,compress_fixed_aspect,np.sum
./apps/matplotlib/lib/mpl_toolkits/axes_grid1/mpl_axes.py,matplotlib.axes_grid1.mpl_axes,clear,super
./apps/matplotlib/lib/matplotlib/cbook.py,matplotlib.cbook,_array_perimeter,np.concatenate
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,draw,super
./apps/matplotlib/lib/matplotlib/stackplot.py,matplotlib.stackplot,stackplot,np.cumsum
./apps/matplotlib/lib/matplotlib/tests/test_triangulation.py,matplotlib.tests.test_triangulation,dipole_potential,np.repeat
./apps/matplotlib/lib/matplotlib/backend_tools.py,matplotlib.backend_tools,scroll_zoom,time.time
./apps/matplotlib/lib/matplotlib/tests/test_patches.py,matplotlib.tests.test_patches,test_patch_hatchcolor_inherit_logic,np.ones
./apps/matplotlib/lib/matplotlib/axes/_axes.py,matplotlib.axes._axes,merge_kw_rc,k.split
./apps/matplotlib/lib/matplotlib/animation.py,matplotlib.animation,to_html5_video,Writer
./apps/matplotlib/galleries/examples/pie_and_polar_charts/nested_pie.py,nested_pie,func,np.cumsum
./apps/matplotlib/lib/matplotlib/_afm.py,matplotlib._afm,_parse_composites,s.split
./apps/matplotlib/lib/matplotlib/image.py,matplotlib.image,__getstate__,super
./apps/matplotlib/galleries/examples/text_labels_and_annotations/demo_text_path.py,demo_text_path,set_facecolor,super
./apps/matplotlib/lib/matplotlib/backends/backend_ps.py,matplotlib.backends.backend_ps,_get_bbox_header,int
./apps/matplotlib/lib/matplotlib/text.py,matplotlib.text,draw,np.isnan
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_fillbetween_cycle,enumerate
./apps/matplotlib/lib/matplotlib/testing/__init__.py,matplotlib.testing.__init__,_gen_multi_font_text,chr
./apps/matplotlib/lib/matplotlib/tests/test_image.py,matplotlib.tests.test_image,test_rgba_antialias,int
./apps/matplotlib/galleries/examples/lines_bars_and_markers/stairs_demo.py,stairs_demo,draw_error_band,np.hstack
./apps/matplotlib/lib/matplotlib/backends/backend_wx.py,matplotlib.backends.backend_wx,draw_text,int
./apps/matplotlib/lib/mpl_toolkits/axisartist/angle_helper.py,matplotlib.axisartist.angle_helper,__call__,super
./apps/matplotlib/lib/mpl_toolkits/axisartist/grid_helper_curvelinear.py,matplotlib.axisartist.grid_helper_curvelinear,__init__,super
./apps/matplotlib/tools/github_stats.py,matplotlib.tests.github_stats,report,int
./apps/matplotlib/lib/mpl_toolkits/mplot3d/axes3d.py,matplotlib.mplot3d.axes3d,contourf,super
./apps/matplotlib/lib/matplotlib/projections/polar.py,matplotlib.projections.polar,transform_non_affine,np.where
./apps/matplotlib/tools/embed_js.py,matplotlib.tests.embed_js,gen_embedded_lines,print
./apps/matplotlib/lib/mpl_toolkits/axes_grid1/mpl_axes.py,matplotlib.axes_grid1.mpl_axes,set_visible,super
./apps/matplotlib/lib/matplotlib/tests/test_determinism.py,matplotlib.tests.test_determinism,draw,super
./apps/matplotlib/lib/matplotlib/widgets.py,matplotlib.widgets,set_val,np.sort
./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,_is_decade,np.log
./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,get_log_range,np.ceil
./apps/matplotlib/lib/matplotlib/figure.py,matplotlib.figure,__getstate__,super
./apps/matplotlib/lib/matplotlib/quiver.py,matplotlib.quiver,draw,super
./apps/matplotlib/galleries/examples/text_labels_and_annotations/angle_annotation.py,angle_annotation,draw,super
./apps/matplotlib/galleries/examples/mplot3d/surface3d_2.py,surface3d_2,imshow3d,np.outer
./apps/matplotlib/lib/matplotlib/offsetbox.py,matplotlib.offsetbox,_get_packed_offsets,sum
./apps/matplotlib/lib/matplotlib/tests/test_backend_tk.py,matplotlib.tests.test_backend_tk,test_blit,print
./apps/matplotlib/lib/matplotlib/tests/test_mlab.py,matplotlib.tests.test_mlab,test_cohere,np.ones
./apps/matplotlib/lib/matplotlib/tests/test_backend_tk.py,matplotlib.tests.test_backend_tk,test_blit,np.ones
./apps/matplotlib/lib/matplotlib/bezier.py,matplotlib.bezier,axis_aligned_extrema,np.isreal
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_specgram_magnitude,np.ceil
./apps/matplotlib/lib/matplotlib/gridspec.py,matplotlib.gridspec,__hash__,hash
./apps/matplotlib/galleries/examples/user_interfaces/toolmanager_sgskip.py,toolmanager_sgskip,trigger,print
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,_repr_png_,np.repeat
./apps/matplotlib/lib/matplotlib/lines.py,matplotlib.lines,_slice_or_none,np.unique
./apps/matplotlib/lib/matplotlib/backend_managers.py,matplotlib.backend_managers,__init__,super
./apps/matplotlib/lib/matplotlib/font_manager.py,matplotlib.font_manager,_findfont_cached,_log.warning
./apps/matplotlib/lib/matplotlib/colors.py,matplotlib.colors,_get_rgba_and_mask,np.errstate
./apps/matplotlib/galleries/examples/lines_bars_and_markers/multicolored_line.py,multicolored_line,colored_line,np.stack
./apps/matplotlib/lib/matplotlib/cm.py,matplotlib.cm,__iter__,iter
