file,operation
matplotlib.rcsetup,validator
matplotlib.rcsetup,_validate_marker
matplotlib.rcsetup,_validate_pathlike
matplotlib.rcsetup,validate_fonttype
matplotlib.rcsetup,validate_backend
matplotlib.rcsetup,_validate_toolbar
matplotlib.rcsetup,validate_color_or_inherit
matplotlib.rcsetup,validate_color_or_auto
matplotlib.rcsetup,_validate_color_or_edge
matplotlib.rcsetup,validate_color_for_prop_cycle
matplotlib.rcsetup,_validate_color_or_linecolor
matplotlib.rcsetup,validate_color
matplotlib.rcsetup,_validate_color_or_None
matplotlib.rcsetup,_validate_cmap
matplotlib.rcsetup,validate_aspect
matplotlib.rcsetup,validate_fontsize_None
matplotlib.rcsetup,validate_fontsize
matplotlib.rcsetup,validate_fontweight
matplotlib.rcsetup,validate_fontstretch
matplotlib.rcsetup,validate_font_properties
matplotlib.rcsetup,_validate_mathtext_fallback
matplotlib.rcsetup,validate_whiskers
matplotlib.rcsetup,validate_ps_distiller
matplotlib.rcsetup,_validate_linestyle
matplotlib.rcsetup,_is_iterable_not_string_like
matplotlib.rcsetup,_validate_linestyle_or_None
matplotlib.rcsetup,validate_markevery
matplotlib.rcsetup,validate_bbox
matplotlib.rcsetup,validate_sketch
matplotlib.rcsetup,_validate_greaterthan_minushalf
matplotlib.rcsetup,_validate_greaterequal0_lessequal1
matplotlib.rcsetup,_validate_int_greaterequal0
matplotlib.rcsetup,validate_hatch
matplotlib.rcsetup,_validate_minor_tick_ndivs
matplotlib.rcsetup,cycler
matplotlib.rcsetup,_validate_legend_loc
matplotlib.rcsetup,validate_cycler
matplotlib.rcsetup,validate_hist_bins
matplotlib.rcsetup,_convert_validator_spec
matplotlib.mathtext,math_to_image
matplotlib.dates,_get_tzinfo
matplotlib.dates,_reset_epoch_test_example
matplotlib.dates,set_epoch
matplotlib.dates,get_epoch
matplotlib.dates,_dt64_to_ordinalf
matplotlib.dates,_from_ordinalf
matplotlib.dates,datestr2num
matplotlib.dates,date2num
matplotlib.dates,num2date
matplotlib.dates,num2timedelta
matplotlib.dates,drange
matplotlib.dates,_wrap_in_tex
matplotlib.dates,normalize_arg
matplotlib.dates,normalize_args
matplotlib.dates,inner_func
matplotlib.dates,inner_func
matplotlib.widgets,_expand_text_props
matplotlib.cm,_gen_cmap_registry
matplotlib.cm,_ensure_cmap
matplotlib.legend,get_default_handler_map
matplotlib.legend,set_default_handler_map
matplotlib.legend,update_default_handler_map
matplotlib.legend,_get_legend_handles
matplotlib.legend,_get_legend_handles_labels
matplotlib.legend,_parse_legend_args
matplotlib._layoutgrid,seq_id
matplotlib._layoutgrid,plot_children
matplotlib.hatch,_validate_hatch_pattern
matplotlib.hatch,get_path
matplotlib.collections,_get_interpolating_points
matplotlib.collections,determine_facecolor
matplotlib.spines,linear_spine
matplotlib.spines,arc_spine
matplotlib.spines,circular_spine
matplotlib.spines,x
matplotlib.spines,from_dict
matplotlib.pyplot,_copy_docstring_and_deprecators
matplotlib.pyplot,_copy_docstring_and_deprecators
matplotlib.pyplot,_copy_docstring_and_deprecators
matplotlib.pyplot,_add_pyplot_note
matplotlib.pyplot,_draw_all_if_interactive
matplotlib.pyplot,install_repl_displayhook
matplotlib.pyplot,uninstall_repl_displayhook
matplotlib.pyplot,set_loglevel
matplotlib.pyplot,findobj
matplotlib.pyplot,_get_backend_mod
matplotlib.pyplot,switch_backend
matplotlib.pyplot,new_figure_manager_given_figure
matplotlib.pyplot,new_figure_manager
matplotlib.pyplot,draw_if_interactive
matplotlib.pyplot,_warn_if_gui_out_of_main_thread
matplotlib.pyplot,new_figure_manager
matplotlib.pyplot,draw_if_interactive
matplotlib.pyplot,show
matplotlib.pyplot,show
matplotlib.pyplot,show
matplotlib.pyplot,isinteractive
matplotlib.pyplot,ioff
matplotlib.pyplot,ion
matplotlib.pyplot,pause
matplotlib.pyplot,rc
matplotlib.pyplot,rc_context
matplotlib.pyplot,rcdefaults
matplotlib.pyplot,getp
matplotlib.pyplot,get
matplotlib.pyplot,setp
matplotlib.pyplot,xkcd
