common-block,file,module,operation,direction
GaussKronrodQuadrature,./apps/scipy/scipy/integrate/_rules/_gauss_kronrod.py,scipy.integrate._rules._gauss_kronrod.GaussKronrodQuadrature,self.xp,WRITE
GaussKronrodQuadrature,./apps/scipy/scipy/integrate/_rules/_gauss_kronrod.py,scipy.integrate._rules._gauss_kronrod.GaussKronrodQuadrature,self.gauss,WRITE
FixedRule,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.FixedRule,self.xp,WRITE
NestedFixedRule,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.NestedFixedRule,self.higher,WRITE
NestedFixedRule,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.NestedFixedRule,self.lower,WRITE
NestedFixedRule,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.NestedFixedRule,self.xp,WRITE
ProductNestedFixed,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.ProductNestedFixed,self.base_rules,WRITE
ProductNestedFixed,./apps/scipy/scipy/integrate/_rules/_base.py,scipy.integrate._rules._base.ProductNestedFixed,self.xp,WRITE
GaussLegendreQuadrature,./apps/scipy/scipy/integrate/_rules/_gauss_legendre.py,scipy.integrate._rules._gauss_legendre.GaussLegendreQuadrature,self.npoints,WRITE
GaussLegendreQuadrature,./apps/scipy/scipy/integrate/_rules/_gauss_legendre.py,scipy.integrate._rules._gauss_legendre.GaussLegendreQuadrature,self.xp,WRITE
GenzMalikCubature,./apps/scipy/scipy/integrate/_rules/_genz_malik.py,scipy.integrate._rules._genz_malik.GenzMalikCubature,self.ndim,WRITE
GenzMalikCubature,./apps/scipy/scipy/integrate/_rules/_genz_malik.py,scipy.integrate._rules._genz_malik.GenzMalikCubature,self.degree,WRITE
GenzMalikCubature,./apps/scipy/scipy/integrate/_rules/_genz_malik.py,scipy.integrate._rules._genz_malik.GenzMalikCubature,self.lower_degree,WRITE
GenzMalikCubature,./apps/scipy/scipy/integrate/_rules/_genz_malik.py,scipy.integrate._rules._genz_malik.GenzMalikCubature,self.xp,WRITE
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,first_step,WRITE
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,rtol,WRITE
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,atol,WRITE
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,solver,WRITE
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,solver._integrator.rwork,WRITE
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,solver._integrator.call_args,WRITE
LSODA,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LSODA,self._lsoda_solver,WRITE
LsodaDenseOutput,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LsodaDenseOutput,self.h,WRITE
LsodaDenseOutput,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LsodaDenseOutput,self.yh,WRITE
LsodaDenseOutput,./apps/scipy/scipy/integrate/_ivp/lsoda.py,scipy.integrate._ivp.lsoda.LsodaDenseOutput,self.p,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.max_step,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.rtol,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.atol,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,f,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.h_abs_old,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.error_norm_old,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.newton_tol,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.jac_factor,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.jac,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.J,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.lu,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.solve_lu,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.I,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,kappa,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.gamma,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.alpha,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.error_const,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,D,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,D,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,D,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.D,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.order,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.n_equal_steps,WRITE
BDF,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BDF,self.LU,WRITE
BdfDenseOutput,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BdfDenseOutput,self.order,WRITE
BdfDenseOutput,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BdfDenseOutput,self.t_shift,WRITE
BdfDenseOutput,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BdfDenseOutput,self.denom,WRITE
BdfDenseOutput,./apps/scipy/scipy/integrate/_ivp/bdf.py,scipy.integrate._ivp.bdf.BdfDenseOutput,self.D,WRITE
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,ts,WRITE
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,d,WRITE
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,self.n_segments,WRITE
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,self.ts,WRITE
OdeSolution,./apps/scipy/scipy/integrate/_ivp/common.py,scipy.integrate._ivp.common.OdeSolution,self.interpolants,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.y_old,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.max_step,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.rtol,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.atol,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.f,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.h_abs_old,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.error_norm_old,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.newton_tol,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.sol,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.jac_factor,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.jac,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.J,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.lu,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.solve_lu,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.I,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.current_jac,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.LU_real,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.LU_complex,WRITE
Radau,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.Radau,self.Z,WRITE
RadauDenseOutput,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.RadauDenseOutput,self.h,WRITE
RadauDenseOutput,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.RadauDenseOutput,self.Q,WRITE
RadauDenseOutput,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.RadauDenseOutput,self.order,WRITE
RadauDenseOutput,./apps/scipy/scipy/integrate/_ivp/radau.py,scipy.integrate._ivp.radau.RadauDenseOutput,self.y_old,WRITE
RungeKutta,./apps/scipy/scipy/integrate/_ivp/rk.py,scipy.integrate._ivp.rk.RungeKutta,self.y_old,WRITE
