name,files,modules,variables
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.text_memory
_idat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._idat,self.fp
_idat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._idat,self.chunk
_fdat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._fdat,self.fp
_fdat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._fdat,self.chunk
_fdat,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin._fdat,self.seq_num
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,self.dct
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,self.fobj
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,sig
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,filesize
IcnsFile,./apps/Pillow/src/PIL/IcnsImagePlugin.py,PIL.IcnsImagePlugin.IcnsFile,i
_Operand,./apps/Pillow/src/PIL/ImageMath.py,PIL.ImageMath._Operand,self.im
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self._min_frame
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.custom_mimetype
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.tile
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.readonly
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.decoderconfig
ImageFile,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.ImageFile,self.decodermaxblock
PyCodecState,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodecState,self.xsize
PyCodecState,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodecState,self.ysize
PyCodecState,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodecState,self.xoff
PyCodecState,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodecState,self.yoff
PyCodec,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodec,self.im
PyCodec,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodec,self.state
PyCodec,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodec,self.fd
PyCodec,./apps/Pillow/src/PIL/ImageFile.py,PIL.ImageFile.PyCodec,self.mode
ImagePointTransform,./apps/Pillow/src/PIL/Image.py,PIL.Image.ImagePointTransform,self.scale
ImagePointTransform,./apps/Pillow/src/PIL/Image.py,PIL.Image.ImagePointTransform,self.offset
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self._im
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self._mode
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self._size
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self.palette
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self.info
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self.readonly
Image,./apps/Pillow/src/PIL/Image.py,PIL.Image.Image,self._exif
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._data
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._hidden_data
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._ifds
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._info
Exif,./apps/Pillow/src/PIL/Image.py,PIL.Image.Exif,self._loaded_exif
DeferredError,./apps/Pillow/src/PIL/_util.py,PIL._util.DeferredError,self.ex
JpegPresets.py,./apps/Pillow/src/PIL/JpegPresets.py,PIL.JpegPresets,presets
AvifImagePlugin.py,./apps/Pillow/src/PIL/AvifImagePlugin.py,PIL.AvifImagePlugin,DECODE_CODEC_CHOICE
AvifImagePlugin.py,./apps/Pillow/src/PIL/AvifImagePlugin.py,PIL.AvifImagePlugin,DEFAULT_MAX_THREADS
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,TYPE_CHECKING
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,Coords
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,_T_co
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,StrOrBytesPath
_typing.py,./apps/Pillow/src/PIL/_typing.py,PIL._typing,__all__
ImageMorph.py,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph,LUT_SIZE
ImageMorph.py,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph,ROTATION_MATRIX
ImageMorph.py,./apps/Pillow/src/PIL/ImageMorph.py,PIL.ImageMorph,MIRROR_MATRIX
PalmImagePlugin.py,./apps/Pillow/src/PIL/PalmImagePlugin.py,PIL.PalmImagePlugin,_Palm8BitColormapValues
PalmImagePlugin.py,./apps/Pillow/src/PIL/PalmImagePlugin.py,PIL.PalmImagePlugin,Palm8BitColormapImage
PalmImagePlugin.py,./apps/Pillow/src/PIL/PalmImagePlugin.py,PIL.PalmImagePlugin,_FLAGS
PalmImagePlugin.py,./apps/Pillow/src/PIL/PalmImagePlugin.py,PIL.PalmImagePlugin,_COMPRESSION_TYPES
ImagePalette.py,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette,TYPE_CHECKING
PSDraw.py,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw,TYPE_CHECKING
PSDraw.py,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw,EDROFF_PS
PSDraw.py,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw,VDI_PS
PSDraw.py,./apps/Pillow/src/PIL/PSDraw.py,PIL.PSDraw,ERROR_PS
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_MAGIC
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,module
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_FOURCC
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_RGB
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_RGBA
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_LUMINANCE
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_LUMINANCEA
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_ALPHA
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_PAL8
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_HEADER_FLAGS_TEXTURE
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_HEADER_FLAGS_MIPMAP
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_HEADER_FLAGS_VOLUME
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_HEADER_FLAGS_PITCH
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_HEADER_FLAGS_LINEARSIZE
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_HEIGHT
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_WIDTH
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_SURFACE_FLAGS_TEXTURE
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_SURFACE_FLAGS_MIPMAP
DdsImagePlugin.py,./apps/Pillow/src/PIL/DdsImagePlugin.py,PIL.DdsImagePlugin,DDS_SURFACE_FLAGS_CUBEMAP
