"source-path";"source-operation";"target-path";"target-operation";"calls"
"f2pytests.__init__";"test_npd_linker";"libtests.test_regression";"pytest.skip";"2"
"randomtests.test_randomstate";"test_binomial";"numpy.polynomial.tests.test_hermite_e";"self.set_seed";"2"
"omtests.test_public_api";"test_functions_single_location";"lib_core.test_ufunc";"set";"1"
"lib_core.test_stringdtype";"call_func";"omma.core";"np.array";"1"
"matrixlibtests.test_multiarray";"test_keywords";"omma.core";"np.array";"1"
"randomtests.test_smoke";"test_shuffle";"libtests.test_regression";"np.arange";"1"
"libtests.test_recfunctions";"test_solo_w_flatten";"omma.core";"np.array";"1"
"lib_core.test_umath";"test_logaddexp_range";"omlib._scimath_impl";"np.logaddexp";"1"
"lib_core.test_umath";"__array_wrap__";"omlib._twodim_base_impl";"range";"1"
"lib_core.setup";"test_too_many_dims";"lib_core.test_ufunc";"cythonize";"1"
"f2pytests.test_character";"test_array_input_varia";"lib_core.test_ufunc";"SystemError";"1"
"omma.extras";"apply_over_axes";"omma.core";"asarray";"1"
"lib_core.test_casting_unittests";"test_simple_direct_casts";"numpy.polynomial.tests.test_hermite_e";"self.get_data_variation";"3"
"libtests.test_nanfunctions";"test_nanfunc_q";"omlib._twodim_base_impl";"pytest.mark.parametrize";"1"
"libtests.test_format";"test_version_2_0_memmap";"libtests.test_regression";"os.path.join";"2"
"numpy.polynomial.tests.test_hermite";"test_hermint";"distutilstests.test_ccompiler_opt";"assert_raises";"6"
"lib_core.test_regression";"test_deepcopy_on_0d_array";"lib_core.test_ufunc";"int";"2"
"libtests.test_histograms";"test_density";"omma.core";"assert_array_equal";"3"
"typingtests.scalars";"__float__";"lib_core.test_ufunc";"int";"9"
"lib_core.test_indexing";"test_cast_equivalence";"omma.core";"np.array";"3"
"omtests.test_subclassing";"__setitem__";"numpy.polynomial.tests.test_hermite_e";"self._original._validate_input";"1"
"lib_core.test_regression";"test_empty_mul";"omma.testutils";"assert_equal";"1"
"omtests.test_old_ma";"test_testUfuncs1";"distutilstests.test_ccompiler_opt";"assert_";"26"
"libtests.test_recfunctions";"test_append_single";"omma.core";"ma.array";"1"
"libtests.test_loadtxt";"test_converter_with_unicode_dtype";"omma.core";"np.array";"1"
"lib_core.fromnumeric";"_cumulative_func";"libtests.test_function_base";"ValueError";"1"
"lif2py.f2py2e";"buildmodules";"py_utils._inspect";"join";"1"
"omlib._arraysetops_impl";"_unique1d";"omma.core";"ar.sort";"1"
"typingtests.test_runtime";"test_get_origin";"omlib._twodim_base_impl";"pytest.mark.parametrize";"1"
"omtests.test_extras";"test_object";"omma.core";"np.ma.masked_array";"1"
"lib_core.test_shape_base";"test_stack";"numpy.matlib";"np.zeros";"2"
"lib_core.test_stringdtype";"test_set_replace_na";"omlib._twodim_base_impl";"range";"1"
"lib_core.test_simd";"test_operators_shift";"omlib._twodim_base_impl";"range";"2"
"libtests.test_stride_tricks";"test_writeable";"omlib._twodim_base_impl";"as_strided";"1"
"lib_core.test_strings";"test_ljust_raises_multiple_character_fill";"libtests.test_regression";"pytest.raises";"1"
"numpy.polynomial.polynomial";"polymul";"omma.core";"np.convolve";"1"
"lib_core.test_multiarray";"test_all_null_bstring_array_is_falsey";"distutilstests.test_ccompiler_opt";"assert_";"1"
"lib_core.test_ufunc";"test_reducelike_out_promotes";"numpy.polynomial.tests.test_hermite_e";"np.full";"1"
"numpy.polynomial.tests.test_legendre";"test_leggrid3d";"distutilstests.test_ccompiler_opt";"assert_";"1"
"distutilstests.test_system_info";"test_compile2";"numpy.polynomial.tests.test_hermite_e";"tsi.calc_extra_info";"1"
"tedistutils.ccompiler_opt";"report";"numpy.polynomial.tests.test_hermite_e";"self.feature_sorted";"3"
"lib_core.test_multiarray";"test_file_position_after_tofile";"omma.core";"np.array";"2"
"lib_core.test_datetime";"test_days_creation";"omma.testutils";"assert_equal";"22"
"omtests.test_extras";"test_ambigous_fill";"omma.extras";"np.ma.median";"4"
"lib_core.test_numeric";"test_timedelta";"omma.core";"np.allclose";"2"
"tedistutils.mingw32ccompiler";"_build_import_library_x86";"tedistutils.log";"log.warn";"3"
"libtests.test_index_tricks";"test_wide_matrix";"omma.core";"assert_array_equal";"1"
"lib_core.test_scalarmath";"test_blocked";"numpy.matlib";"np.ones_like";"4"
"omtests.test_mrecords";"test_exotic_formats";"numpy.polynomial.tests.test_hermite_e";"solo.filled";"1"
"lib_core.test_numeric";"test_copies";"omma.testutils";"assert_equal";"3"
"lif2py.f90mod_rules";"iadd";"lif2py.auxfuncs";"outmess";"1"
"lib_core.test_nditer";"test_0d";"libtests.test_regression";"np.arange";"1"
"lif2py.symbolic";"restore";"libtests.test_regression";"m.groups";"6"
"omma.core";"compressed";"libtests.test_regression";"data.compress";"1"
"lib_core.test_defchararray";"test_lower";"lib_core.test_array_coercion";"issubclass";"2"
"lib_core.test_scalar_methods";"test_concrete";"omlib._twodim_base_impl";"pytest.mark.parametrize";"1"
"omlib._nanfunctions_impl";"_remove_nan_1d";"omlib._function_base_impl";"second_arr1d.copy";"1"
"omtests.test_regression";"test_masked_array_repr_unicode";"libtests.test_regression";"repr";"1"
"lib_core.test_ufunc";"test_ufunc_at_large";"lib_core.fromnumeric";"b.sum";"1"
"lib_core.test_multiarray";"test_error_paths_and_promotion";"numpy.polynomial.tests.test_hermite_e";"np.float64";"1"
"lib_core.test_conversion_utils";"_check_conv_assert_warn";"numpy.polynomial.tests.test_hermite_e";"self.conv";"2"
"lib_core.test_ufunc";"test_keepdims_argument";"numpy.matlib";"np.zeros_like";"1"
"f2pytests.test_f2py2e";"test_f2py_only";"omlib._shape_base_impl";"tokeep.split";"1"
"distutilstests.test_ccompiler_opt";"new_test";"lib_core.test_multiarray.x";"exec";"1"
"f2pytests.util";"build_module";"omma.core";"dst_sources.append";"1"
"lib_core.test_umath_complex";"test_simple_conjugate";"libtests.test_regression";"np.conj";"1"
"lib_core.test_datetime";"test_datetime_minmax";"omma.core";"np.array";"8"
"lif2py.capi_maps";"getpydocsign";"lif2py.auxfuncs";"hasinitvalue";"1"
"omlib._function_base_impl";"corrcoef";"numpy.polynomial.tests.test_hermite_e";"array_function_dispatch";"1"
"omtests.test_core";"test_fillvalue_exotic_dtype";"omma.core";"np.array";"5"
"omtests.test_old_ma";"test_testAverage2";"libtests.test_regression";"np.add.reduce";"1"
"lib_core.test_regression";"test_pickle_py2_bytes_encoding";"omma.extras";"isinstance";"2"
"lif2py.symbolic";"_counter";"om_typing._nested_sequence";"_counter";"1"
"lif2py.capi_maps";"load_f2cmap_file";"numpy.polynomial.tests.test_hermite_e";"os.path.isfile";"1"
"omlib._function_base_impl";"_i0_1";"omlib._function_base_impl";"_chbevl";"1"
"libtests.test_shape_base";"test_kron_smoke";"omma.core";"assert_array_equal";"1"
"omtests.test_core";"test_cumsumprod";"numpy.polynomial.tests.test_hermite_e";"mX.filled";"4"
"libtests.test_arraypad";"test_check_03";"omlib._arraypad_impl";"np.pad";"2"
"omtests.test_configtool";"check_numpyconfig";"libtests.test_regression";"subprocess.run";"1"
"lib_core.test_regression";"__array_finalize__";"lib_core.fromnumeric";"dat.any";"1"
"lib_core.test_multiarray";"test_order_mismatch";"libtests.test_regression";"np.arange";"1"
"tedistutils.cpuinfo";"_is_ultra30";"lib_core.test_ufunc";"re.match";"1"
"lib_core.test_arrayprint";"test_printoptions_asyncio_safe";"libtests.test_regression";"pytest.importorskip";"1"
"lib_core.test_half";"test_half_conversion_rounding";"numpy.polynomial.tests.test_hermite_e";"np.float16.view";"1"
"omlib._npyio_impl";"write_bytes";"omma.extras";"isinstance";"1"
"lif2py.capi_maps";"getstrlength";"omlib._npyio_impl";"getstrlength";"1"
"omlib._user_array_impl";"__rpow__";"numpy.polynomial.tests.test_hermite_e";"self._rc";"1"
"distutilstests.test_ccompiler_opt_conf";"test_group";"omlib._npyio_impl";"search_in.get";"1"
"lib_core.test_nditer";"test_writebacks";"libtests.test_regression";"a.byteswap";"1"
"lif2py.capi_maps";"getctype";"omma.core";"isstring_or_stringarray";"1"
"lib_core.test_scalar_methods";"test_false";"omlib._twodim_base_impl";"pytest.mark.parametrize";"1"
"lib_core.test_strings";"test_istitle_unicode";"omma.core";"np.array";"1"
"randomtests.test_smoke";"test_normal_zig_floats";"randomtests.test_smoke";"warmup";"2"
"randomtests.test_random";"test_random_integers";"omma.core";"assert_array_equal";"1"
"omlib.recfunctions";"get_names";"omlib._npyio_impl";"get_names";"1"
"lib_core.test_dtype";"test_union_struct";"distutilstests.test_ccompiler_opt";"assert_raises";"4"
"linalgtests.test_linalg";"test_axis";"distutilstests.test_ccompiler_opt";"assert_raises";"1"
"libtests.test_function_base";"test_nd_shape";"omlib._twodim_base_impl";"range";"1"
"tedistutils.misc_util";"get_info";"numpy.polynomial.tests.test_hermite_e";"parse_flags";"2"
"lib_core.test_shape_base";"test_block_mixed_1d_and_2d";"omma.testutils";"assert_equal";"1"
"lib_core.test_multiarray";"test_no_dgemv";"randomtests.test_smoke";"np.dtype";"1"
"lib_core.test_indexing";"test_too_many_fancy_indices_special_case";"numpy.matlib";"np.ones";"1"
"numpy.polynomial.tests.test_symbol";"test_valid_symbols";"omma.testutils";"assert_equal";"1"
"omma.extras";"_ezclump";"lib_core.fromnumeric";"nonzero";"1"
"omlib._twodim_base_impl";"tril_indices";"libtests.test_regression";"tuple";"1"
"tedistutils.from_template";"main";"numpy.polynomial.tests.test_hermite_e";"fid.read";"1"
"lif2py.crackfortran";"is_free_format";"numpy.polynomial.tests.test_hermite_e";"_free_f90_start";"1"
"omlib._shape_base_impl";"_make_along_axis_idx";"libtests.test_regression";"tuple";"1"
"numpy.polynomial.tests.test_polynomial";"test_polyadd";"numpy.polynomial.polynomial";"poly.polyadd";"1"
"omlib._iotools";"str2bool";"randomtests.test_smoke";"nx.dtype";"2"
"omlib._function_base_impl";"meshgrid";"numpy.polynomial._polybase";"np.broadcast_arrays";"1"
"lif2py.crackfortran";"analyzeline";"omlib._shape_base_impl";"os.path.basename.split";"1"
"omtests.test_core";"test_object_with_array";"libtests.test_regression";"np.all";"2"
"lib_core.test_multiarray";"testassign";"randomtests.test_smoke";"np.dtype";"1"
"f2pytests.test_docs";"test_asterisk2";"numpy.polynomial.tests.test_hermite_e";"foo";"3"
"tedistutils.system_info";"calc_info";"numpy.polynomial.tests.test_hermite_e";"self.get_cblas_libs";"1"
"tedistutils.cpuinfo";"_is_PentiumMMX";"numpy.polynomial.tests.test_hermite_e";"self.is_Intel";"1"
"lib_core.test_numeric";"test_nonzero_twodim";"omma.testutils";"assert_equal";"18"
"libtests.test_loadtxt";"test_maxrows_exceeding_chunksize";"omlib._twodim_base_impl";"pytest.mark.parametrize";"1"
"lib_core.test_multiarray";"test_out_overlap";"omma.testutils";"assert_equal";"1"
"randomtests.test_randomstate_regression";"test_shuffle_mixed_dimension";"omma.core";"assert_array_equal";"1"
"lib_core.test_umath";"test_bad_legacy_ufunc_silent_errors";"libtests.test_regression";"np.arange.astype";"1"
"libtests.test_format";"test_pickle_python2_python3";"distutilstests.test_ccompiler_opt";"assert_raises";"4"
"lib_core.test_mem_policy";"test_policy_propagation";"libtests.test_regression";"np.arange";"1"
"omtests.test_core";"test_sort_2d";"numpy.polynomial.tests.test_hermite_e";"a.filled";"3"
"lib_core.test_umath";"test_abs_neg_blocked";"omlib._twodim_base_impl";"range";"1"
"randomtests.test_randomstate";"test_standard_gamma";"omma.core";"np.array";"2"
"numpy.polynomial.tests.test_hermite";"test_hermdiv";"numpy.polynomial.hermite";"herm.hermmul";"1"
"libtests.test_stride_tricks";"test_2d_repeated_axis";"omlib._stride_tricks_impl";"sliding_window_view";"1"
"lib_core.test__exceptions";"test_pickling";"numpy.exceptions.AxisError";"AxisError";"1"
"omlib._histograms_impl";"histogramdd";"numpy.polynomial.tests.test_hermite_e";"array_function_dispatch";"1"
"randomtests.test_smoke";"test_gumbel";"_core";"len";"1"
"lib_core.test_einsum";"test_long_paths";"numpy.polynomial.tests.test_hermite_e";"self.assert_path_equal";"4"
"lib_core.test_ufunc";"test_where_param";"omma.core";"np.arange.reshape";"1"
"omlib._twodim_base_impl";"triu_indices";"py_utils.__init__";"set_module";"1"
"omlib._function_base_impl";"_ureduce";"libtests.test_regression";"tuple";"2"
"lib_core.test_array_coercion";"test_uneven_depth_ragged";"omma.core";"arraylikes";"1"
